key,ko,en,ja
btn_new_game,새로하기,New Game,新しく始める
btn_continue,이어하기,Continue,続きから
btn_exit,종료하기,Exit,終了
btn_rune,룬 연구소,1,1
btn_skip_reward,스킵,1,1
btn_get_reward,선택,1,1
btn_click_continue,아무 곳이나 클릭하여 계속,1,1
btn_select_continue,캐릭터 생성,1,1
btn_end_turn,턴 종료
clearbuffwithapply_desc,모든 캐릭터의 디버프/버프를 제거
clearbuffwithoutapply_desc,모든 캐릭터에 적용된 디버프/버프를 유지
drawhightiercard_desc,덱에서 높은 티어 카드 1장 드로우
cardcosttoint_desc,모든 카드의 코스트를 {CardCostToInt}로 변환

poison_gas_name,시체 독
poison_gas_desc,모든 적에게 3번 동안 유지되는 독을 부여
magic_book_name_1,하급 마법서
magic_book_desc,새로운 융합 옵션을 해금
magic_book_name_2,상급 마법서
bone_golem_name_1,하급 뼈골렘
bone_golem_desc,뼈를 소모하여 본골렘을 소환
bone_golem_name_2,상급 뼈골렘
bone_shield_name,뼈 방패
bone_shield_desc_1,아군 하나에게 {Shield}보호막 부여 뼈 소모시 [BoneShield]% 데미지 감소 
bone_shield_desc_2,모든 아군에게 {Shield}보호막 부여 뼈 소모시 [BoneShield]% 데미지 감소
bone_spear_name,뼈 창
bone_spear_desc_1,적 하나에게 {BoneSpear}x뼈x최대체력에 해당하는 피해
bone_spear_desc_2,모든 적에게 {BoneSpear}x뼈x최대체력에 해당하는 피해
summon_copy_name,반사경
summon_copy_desc,융합시 [SummonCopy]% 확률로 소환물 복제
corpse_explosion_name,시체 폭발
corpse_explosion_desc_1,적 하나에게 {CorpseExplosion}x뼈x최대체력에 해당하는 피해
corpse_explosion_desc_2,모든 적에게 {CorpseExplosion}x뼈x최대체력에 해당하는 피해
fusion_name,융합
fusion_desc,필드 위의 아군 소환수 2기를 융합
suicide_bomber_name,자폭병
suicide_bomber_desc,소환시 [DeathBlastChance]% 확률로 자폭 특성을 지님
suicide_damageup_name,폭탄 강화
suicide_damageup_desc,소환수의 자폭 데미지가 증가
sacrifice_name,희생
sacrifice_desc,하나의 소환수를 필드에서 제거
sacrifice_mana_name,마나 변환
sacrifice_mana_desc,[manaGainChanceWithSummon]% 확률로 희생시 마나를 얻음
sacrifice_draw_name,카드 변환
sacrifice_draw_desc,[drawChanceWithSummon]% 확률로 희생시 드로우
summon_name,소환서
summon_0_desc,들개 소환
summon_1_desc,폭탄병 소환
summon_2_desc,구울 소환
summon_3_desc,그림자 소환
summon_4_desc,망령 소환

stealgold_name,강탈
stealgold_desc,{StealGold} 골드를 약탈
